validation_loss,validation_0_f1,validation_1_f1,validation_2_f1,validation_mean,time_this_iter_s,done,timesteps_total,episodes_total,training_iteration,trial_id,experiment_id,date,timestamp,time_total_s,pid,hostname,node_ip,time_since_restore,timesteps_since_restore,iterations_since_restore
0.4132407307624817,0.8236615657806396,0.6058709621429443,0.7995884418487549,0.7596970200538635,2468.1769227981567,False,,,1,56de27ac,5c9ead42b63248a5aaaf6b311e161389,2022-07-22_01-18-32,1658423912,2468.1769227981567,11329,localhost.localdomain,192.168.249.74,2468.1769227981567,0,1
0.41095614433288574,0.7509443759918213,0.6533970236778259,0.7052471041679382,0.710198163986206,2419.2391169071198,False,,,2,56de27ac,5c9ead42b63248a5aaaf6b311e161389,2022-07-22_01-58-52,1658426332,4887.4160397052765,11329,localhost.localdomain,192.168.249.74,4887.4160397052765,0,2
0.4111703932285309,0.8148637413978577,0.6085649728775024,0.8244034051895142,0.7655879259109497,2415.2163643836975,False,,,3,56de27ac,5c9ead42b63248a5aaaf6b311e161389,2022-07-22_02-39-07,1658428747,7302.632404088974,11329,localhost.localdomain,192.168.249.74,7302.632404088974,0,3
0.38003093004226685,0.844322144985199,0.7630478739738464,0.8744197487831116,0.8306939005851746,2416.718644618988,False,,,4,56de27ac,5c9ead42b63248a5aaaf6b311e161389,2022-07-22_03-19-23,1658431163,9719.351048707962,11329,localhost.localdomain,192.168.249.74,9719.351048707962,0,4
0.43422016501426697,0.8097224831581116,0.5347244739532471,0.7511034607887268,0.72182697057724,2416.9570405483246,False,,,5,56de27ac,5c9ead42b63248a5aaaf6b311e161389,2022-07-22_03-59-40,1658433580,12136.308089256287,11329,localhost.localdomain,192.168.249.74,12136.308089256287,0,5
0.3688531816005707,0.8690862655639648,0.8129015564918518,0.8841693997383118,0.8570882081985474,2418.5939168930054,False,,,6,56de27ac,5c9ead42b63248a5aaaf6b311e161389,2022-07-22_04-39-59,1658435999,14554.902006149292,11329,localhost.localdomain,192.168.249.74,14554.902006149292,0,6
0.41076594591140747,0.7605464458465576,0.5050643682479858,0.8541138768196106,0.7346798181533813,2433.0820734500885,False,,,7,56de27ac,5c9ead42b63248a5aaaf6b311e161389,2022-07-22_05-20-32,1658438432,16987.98407959938,11329,localhost.localdomain,192.168.249.74,16987.98407959938,0,7
0.43384242057800293,0.6903420090675354,0.3774276375770569,0.8283534049987793,0.6658251285552979,2416.558065891266,False,,,8,56de27ac,5c9ead42b63248a5aaaf6b311e161389,2022-07-22_06-00-49,1658440849,19404.542145490646,11329,localhost.localdomain,192.168.249.74,19404.542145490646,0,8
0.4248831272125244,0.7010664939880371,0.48555296659469604,0.7880021929740906,0.6759238243103027,2415.4100379943848,False,,,9,56de27ac,5c9ead42b63248a5aaaf6b311e161389,2022-07-22_06-41-04,1658443264,21819.95218348503,11329,localhost.localdomain,192.168.249.74,21819.95218348503,0,9
0.4171106815338135,0.7256033420562744,0.44764822721481323,0.8520395755767822,0.7066789269447327,2414.6388375759125,False,,,10,56de27ac,5c9ead42b63248a5aaaf6b311e161389,2022-07-22_07-21-19,1658445679,24234.591021060944,11329,localhost.localdomain,192.168.249.74,24234.591021060944,0,10
0.3777884542942047,0.8145028352737427,0.7429199814796448,0.8746539354324341,0.8128681778907776,2415.1427097320557,False,,,11,56de27ac,5c9ead42b63248a5aaaf6b311e161389,2022-07-22_08-01-34,1658448094,26649.733730793,11329,localhost.localdomain,192.168.249.74,26649.733730793,0,11
0.41513723134994507,0.7247885465621948,0.4917362332344055,0.8354017734527588,0.7062198519706726,2427.195612668991,False,,,12,56de27ac,5c9ead42b63248a5aaaf6b311e161389,2022-07-22_08-42-01,1658450521,29076.92934346199,11329,localhost.localdomain,192.168.249.74,29076.92934346199,0,12
0.4044961631298065,0.737714409828186,0.5490456223487854,0.8454658389091492,0.7274118065834045,2418.812031507492,False,,,13,56de27ac,5c9ead42b63248a5aaaf6b311e161389,2022-07-22_09-22-20,1658452940,31495.741374969482,11329,localhost.localdomain,192.168.249.74,31495.741374969482,0,13
0.4106728732585907,0.725255012512207,0.4178735315799713,0.8469300866127014,0.6969627141952515,2414.188983440399,False,,,14,56de27ac,5c9ead42b63248a5aaaf6b311e161389,2022-07-22_10-02-34,1658455354,33909.93035840988,11329,localhost.localdomain,192.168.249.74,33909.93035840988,0,14
0.42050355672836304,0.6811881065368652,0.480066180229187,0.7185302376747131,0.6446331739425659,2416.534441947937,False,,,15,56de27ac,5c9ead42b63248a5aaaf6b311e161389,2022-07-22_10-42-51,1658457771,36326.46480035782,11329,localhost.localdomain,192.168.249.74,36326.46480035782,0,15
0.37594369053840637,0.7812198400497437,0.6823196411132812,0.8456428050994873,0.7733914852142334,2483.2001433372498,False,,,16,56de27ac,5c9ead42b63248a5aaaf6b311e161389,2022-07-22_11-24-14,1658460254,38809.66494369507,11329,localhost.localdomain,192.168.249.74,38809.66494369507,0,16
0.37726345658302307,0.7891679406166077,0.620698869228363,0.8104627728462219,0.746920645236969,2912.3258304595947,False,,,17,56de27ac,5c9ead42b63248a5aaaf6b311e161389,2022-07-22_12-12-46,1658463166,41721.99077415466,11329,localhost.localdomain,192.168.249.74,41721.99077415466,0,17
0.3262940049171448,0.871694028377533,0.829226016998291,0.8842452168464661,0.8623670935630798,2898.5201020240784,False,,,18,56de27ac,5c9ead42b63248a5aaaf6b311e161389,2022-07-22_13-01-05,1658466065,44620.51087617874,11329,localhost.localdomain,192.168.249.74,44620.51087617874,0,18
